"EM","OM","sim","gradient","pdHess","convergence"
"Age","Growth_M (0,0)",1,9.41606869906594e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",2,1.73140692828099e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",3,2.85355069670136e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",4,4.70082814605955e-07,TRUE,"Converged"
"Age","Growth_M (0,0)",5,5.80719469037743e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",6,1.53552166962808e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",7,1.21306761577957e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",8,3.37723386631848e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",9,6.16526042048282e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",10,4.64150770778712e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",11,6.7362890392775e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",12,5.79876518269702e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",13,3.25321508097112e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",14,2.8640460476926e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",15,3.97222239379974e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",16,2.88523364039407e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",17,1.04721859558718e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",18,3.12598673057278e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",19,5.87461662588015e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",20,1.4892105527486e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",21,5.08709920513016e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",22,2.74803077460771e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",23,5.47776266868599e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",24,8.53627870329677e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",25,1.75332157009528e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",26,7.49648213074752e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",27,2.03931540481815e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",28,4.96258833392485e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",29,4.10008336744497e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",30,5.96056177465594e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",31,1.08814540190642e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",32,2.98799377244855e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",33,1.06757179770642e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",34,3.76250508950193e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",35,5.0244331885736e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",36,2.65695702181824e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",37,2.08166901655746e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",38,4.82713081815664e-07,TRUE,"Converged"
"Age","Growth_M (0,0)",39,4.16365675244924e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",40,4.56498671280538e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",41,3.88392805932219e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",42,1.97821772139613e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",43,9.8432545787769e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",44,1.72473887777676e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",45,7.98712990943873e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",46,5.7579957093697e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",47,1.13929242857049e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",48,1.06709448620175e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",49,4.52814637841372e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",50,3.82097612729258e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",51,4.37726113015146e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",52,0.000135693915887009,TRUE,"Converged"
"Age","Growth_M (0,0)",53,3.10951467256507e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",54,1.07954763592584e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",55,1.31475540051813e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",56,6.51212555837191e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",57,2.36075354536169e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",58,2.05849890982087e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",59,6.25994200009622e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",60,1.38995045882464e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",61,3.98133020993804e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",62,6.4653357932484e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",63,0.000103003671908269,TRUE,"Converged"
"Age","Growth_M (0,0)",64,9.0729021904367e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",65,8.33037798810643e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",66,3.53273234304344e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",67,2.7248288176929e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",68,7.24873075629303e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",69,6.96323541627946e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",70,3.12489226866478e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",71,3.22349172318846e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",72,1.39861808690053e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",73,8.7141115049643e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",74,6.04655887869698e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",75,0.000147690904409676,TRUE,"Converged"
"Age","Growth_M (0,0)",76,2.42643916610781e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",77,1.50788088289752e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",78,7.18065095323693e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",79,4.35508023099668e-05,TRUE,"Converged"
