"Age","Sex","True","Pred","Convergence","sim","EM","OM","Type"
1,1,0.18853128381689,0.194243119972023,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
2,1,0.416444503840557,0.41652238587809,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
3,1,0.649335393823018,0.644048361940119,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
4,1,0.812427387846958,0.805088773476346,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
5,1,0.90451319873975,0.897745099767109,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
6,1,0.951307386843162,0.946021844003401,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
7,1,0.974287886157204,0.970427626194499,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
8,1,0.985679583485216,0.982905858461828,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
9,1,0.991520816977111,0.989506972521058,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
10,1,0.994656286911574,0.993158984250132,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
11,1,0.996425497602971,0.995278920868318,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
12,1,0.997474374948968,0.996568828224789,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
13,1,0.998125748657733,0.997388856727654,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
14,1,0.99854770026279,0.997931210435374,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
15,1,0.998831496726149,0.998302695897017,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
16,1,0.999028767988981,0.998565043803986,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
17,1,0.999169876942962,0.998755282583411,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
18,1,0.99927333658747,0.998896403754641,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
19,1,0.999350817029554,0.999003144436293,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
20,1,0.999409902777135,0.999085230018366,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
21,1,0.999455662391631,0.999149251443011,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
22,1,0.99949157022878,0.999199784897103,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
23,1,0.99952006356036,0.999240078411514,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
24,1,0.999542888439845,0.999272483843881,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
25,1,0.999561319800461,0.999298735213901,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
26,1,0.999576304766589,0.999320132043551,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
27,1,0.999588557972777,0.999337662626735,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
28,1,0.999598626228103,0.999352088509457,"Converged",1,"Age","Growth_M (0,0)","Survey Selectivity"
