"Truth","Pred","Convergence","sim","EM","OM","Type","Years"
497.792213944126,410.473674761675,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",1
494.105488654121,413.364715760613,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",2
483.106772732799,408.366979070384,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",3
466.581023824399,398.322886682209,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",4
450.05832522962,387.100107449144,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",5
451.686060738285,391.894081355819,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",6
443.572902323676,388.208513565163,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",7
467.350241441419,409.414073053816,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",8
461.835505206716,405.586415589331,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",9
451.991627664702,398.486414819124,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",10
433.13814904571,382.837082326562,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",11
414.420285674396,368.219167177289,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",12
399.172929422259,356.187082054858,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",13
370.960305798787,330.830760358346,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",14
344.952351727996,308.028275216057,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",15
332.05025542929,296.703093669681,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",16
333.713514312209,299.63671298543,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",17
320.412025773996,287.894960447166,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",18
301.726270940894,271.690772229872,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",19
279.76006510967,251.820993150954,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",20
261.764826967999,235.103258810429,"Converged",1,"Age","Growth_M (0,0)","Total Biomass",21
