"EM","OM","sim","gradient","pdHess","convergence"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",1,1.91646363944879e-07,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",2,6.39244415942446e-08,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",3,2.81613794563742e-05,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",4,1.10445524287674e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",5,2.31941007069702e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",6,0.000195094459489008,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",7,1.71841284078768e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",8,3.10215010572287e-06,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",9,0.000133434225676974,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",10,1.58710070179944e-08,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",11,1.22686567931927e-11,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",12,0.000272198971235389,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",13,1.72281986732853e-09,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",14,1.36137765304928e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",15,8.55295329940294e-10,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",16,8.46617004694905e-07,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",17,1.6903127706134e-07,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",18,1.93049355553882e-07,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",19,0.000189073121916211,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",20,3.57258565122571e-08,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",21,1.32517215915943e-08,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",22,0.000135826205132712,TRUE,"Converged"
"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)",23,6.67891387819151e-08,TRUE,"Converged"
