"Age","Sex","True","Pred","Convergence","sim","EM","OM","Type"
1,1,0.800220113406208,0.772113537815705,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
2,1,1.20796285697858,1.18111462465532,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
3,1,1.64445462610239,1.62138887635287,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
4,1,2.08588861916587,2.06801972772216,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
5,1,2.51481923738296,2.50269169940615,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
6,1,2.91957186656435,2.91312690961722,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
7,1,3.29316533931301,3.2919705943823,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
8,1,3.63217402539275,3.63559840218556,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
9,1,3.93571598120077,3.94305198126202,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
10,1,4.20462937945299,4.21517234361236,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
11,1,4.44083947522637,4.45393454276449,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
12,1,4.64689281530972,4.66195917590659,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
13,1,4.82562748834234,4.84216754377643,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
14,1,4.97994872083971,4.99754781121881,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
15,1,5.11268313306861,5.13100381796362,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
16,1,5.22648997606137,5.24526356448547,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
17,1,5.32381249582001,5.34282956339927,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
18,1,5.40685673335688,5.42595768938644,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
19,1,5.47758844492918,5.49665475114836,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
20,1,5.5377414565729,5.55668779605475,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
21,1,5.58883275738382,5.60760025990536,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
22,1,5.63218110882462,5.65073162357277,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
23,1,5.66892701667403,5.6872383586993,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
24,1,5.70005267524503,5.71811474068716,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
25,1,5.72640102866033,5.74421266300727,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
26,1,5.74869346247742,5.76625996760673,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
27,1,5.76754588734057,5.78487706132672,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
28,1,5.7834831393354,5.80059175446771,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
29,1,5.79695172486019,5.81385236183466,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
30,1,5.80833099962894,5.82503916817539,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
1,2,0.800220113406208,0.805110389177293,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
2,2,1.20796285697858,1.22110109045538,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
3,2,1.64445462610239,1.6649448228184,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
4,2,2.08588861916587,2.1116325564764,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
5,2,2.51481923738296,2.54319248492593,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
6,2,2.91957186656435,2.94791214150773,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
7,2,3.29316533931301,3.31907395288071,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
8,2,3.63217402539275,3.65366938165888,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
9,2,3.93571598120077,3.95128409842328,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
